id,sku,name,category,subcategory,unit_cost,selling_price,active,created_at,updated_at
1,SKU-ELE-0001,Essential Smart Devices Module #1,Electronics,Smart Devices,139.16,240.52,True,2026-09-24 15:51:32.429942+00:00,2026-09-24 15:51:32.429942+00:00
2,SKU-OFF-0002,Ultra Paper Goods System #2,Office Supplies,Paper Goods,18.30,37.93,True,2026-09-24 15:51:32.429942+00:00,2026-09-24 15:51:32.429942+00:00
3,SKU-IND-0003,Compact Safety Equipment Kit #3,Industrial Tools,Safety Equipment,36.18,72.17,True,2026-09-24 15:51:32.429942+00:00,2026-09-24 15:51:32.429942+00:00
4,SKU-PAC-0004,Eco Tape & Adhesives Pack #4,Packaging & Shipping,Tape & Adhesives,35.99,83.82,True,2026-09-24 15:51:32.429942+00:00,2026-09-24 15:51:32.429942+00:00
5,SKU-WOR-0005,Ultra Eye Protection Pack #5,Workwear & Safety,Eye Protection,48.85,100.68,True,2026-09-24 15:51:32.429942+00:00,2026-09-24 15:51:32.429942+00:00
6,SKU-ELE-0006,Ultra Audio Module #6,Electronics,Audio,128.84,200.80,True,2026-09-24 15:51:32.429942+00:00,2026-09-24 15:51:32.429942+00:00
7,SKU-OFF-0007,Heavy-Duty Desk Organization Apparatus #7,Office Supplies,Desk Organization,26.30,50.71,True,2026-09-24 15:51:32.429942+00:00,2026-09-24 15:51:32.429942+00:00
8,SKU-IND-0008,Compact Measurement Station #8,Industrial Tools,Measurement,121.72,178.97,True,2026-09-24 15:51:32.429942+00:00,2026-09-24 15:51:32.429942+00:00
9,SKU-PAC-0009,Precision Cardboard Boxes Kit #9,Packaging & Shipping,Cardboard Boxes,37.89,73.97,True,2026-09-24 15:51:32.429942+00:00,2026-09-24 15:51:32.429942+00:00
10,SKU-WOR-0010,Ultra Eye Protection Unit #10,Workwear & Safety,Eye Protection,14.73,26.82,True,2026-09-24 15:51:32.429942+00:00,2026-09-24 15:51:32.429942+00:00
11,SKU-ELE-0011,Essential Power & Batteries Set #11,Electronics,Power & Batteries,24.15,46.71,True,2026-09-24 15:51:32.429942+00:00,2026-09-24 15:51:32.429942+00:00
12,SKU-OFF-0012,Precision Desk Organization Apparatus #12,Office Supplies,Desk Organization,17.48,37.40,True,2026-09-24 15:51:32.429942+00:00,2026-09-24 15:51:32.429942+00:00
13,SKU-IND-0013,Pro Fasteners & Hardware Pack #13,Industrial Tools,Fasteners & Hardware,238.50,390.04,True,2026-09-24 15:51:32.429942+00:00,2026-09-24 15:51:32.429942+00:00
14,SKU-PAC-0014,Precision Tape & Adhesives Kit #14,Packaging & Shipping,Tape & Adhesives,10.21,22.92,True,2026-09-24 15:51:32.429942+00:00,2026-09-24 15:51:32.429942+00:00
15,SKU-WOR-0015,Pro Protective Gloves Unit #15,Workwear & Safety,Protective Gloves,35.74,67.41,True,2026-09-24 15:51:32.429942+00:00,2026-09-24 15:51:32.429942+00:00
16,SKU-ELE-0016,Compact Smart Devices Kit #16,Electronics,Smart Devices,85.50,145.60,True,2026-09-24 15:51:32.429942+00:00,2026-09-24 15:51:32.429942+00:00
17,SKU-OFF-0017,Industrial Desk Organization Apparatus #17,Office Supplies,Desk Organization,12.99,28.18,True,2026-09-24 15:51:32.429942+00:00,2026-09-24 15:51:32.429942+00:00
18,SKU-IND-0018,Ultra Measurement Kit #18,Industrial Tools,Measurement,109.80,209.61,True,2026-09-24 15:51:32.429942+00:00,2026-09-24 15:51:32.429942+00:00
19,SKU-PAC-0019,Essential Envelopes Unit #19,Packaging & Shipping,Envelopes,24.19,53.51,True,2026-09-24 15:51:32.429942+00:00,2026-09-24 15:51:32.429942+00:00
20,SKU-WOR-0020,Essential Work Boots Kit #20,Workwear & Safety,Work Boots,23.19,45.13,False,2026-09-24 15:51:32.429942+00:00,2026-09-24 15:51:32.429942+00:00
21,SKU-ELE-0021,Precision Smart Devices Pack #21,Electronics,Smart Devices,15.89,32.08,True,2026-09-24 15:51:32.429942+00:00,2026-09-24 15:51:32.429942+00:00
